# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-6.387576681344e-03 1.141983002473e-12 3.664691652262e-13)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (1.098662474204e-13 -9.211453771145e-04 1.102646280153e-03))
0.00667             	((-1.822340264895e+01 -1.260297658373e-06 1.756505463920e-04) (-3.608275992346e-03 -9.156225859434e-04 -3.218369576756e-04)) ((2.935659344533e-05 -2.767443206667e+00 3.025608751629e+00) (1.563284454213e-05 -1.040268706976e-03 2.025190295156e-03))
0.01334             	((9.303114988017e+00 1.432587098605e-06 -8.447829872201e-04) (-2.694292742445e-03 -1.000827238445e-04 3.513167418231e-04)) ((-1.402121551096e-04 1.372827014290e+00 -1.541736503001e+00) (8.047555674650e-05 2.027034651670e-04 6.507357915418e-04))
0.02001             	((-1.353738876731e+00 -2.282969527904e-07 4.380396832118e-04) (-2.447028284002e-03 -3.975320499699e-05 1.115399812556e-04)) ((7.144376971960e-05 -2.278857116692e-01 2.206740436198e-01) (4.902105886987e-05 -1.637867755810e-04 4.973927935619e-04))
0.02668             	((-7.102753308113e-01 -1.546574044088e-07 5.085571400892e-04) (-2.589655703490e-03 -1.597979468733e-04 8.399874654969e-05)) ((8.336812037926e-05 -1.226618417905e-01 1.163985175822e-01) (5.208089810512e-05 -2.339679815574e-04 7.022459493901e-04))
0.03335             	((6.468274300489e-01 1.862749029855e-07 -8.101706197131e-04) (-2.437455995116e-03 -1.653654633083e-04 1.321961236251e-04)) ((-1.365921232357e-04 7.977050176858e-02 -1.090345844555e-01) (6.205586966255e-05 -1.409983994312e-04 6.803635168036e-04))
0.04002             	((-1.516056515058e-01 -5.247191686265e-08 2.941242541924e-04) (-2.318794346121e-03 -1.982184601366e-04 9.660598859393e-05)) ((4.478744144870e-05 -3.774517529608e-02 2.307884703222e-02) (6.377860482819e-05 -1.801906889675e-04 7.067941664738e-04))
0.04669             	((-3.910515107569e-02 -1.591959276017e-08 1.085743004910e-04) (-2.248906721791e-03 -2.129909108574e-04 9.871327538252e-05)) ((1.274442265594e-05 -1.950117464989e-02 4.587302140293e-03) (6.858481780218e-05 -1.646650230288e-04 7.158922156170e-04))
0.05336             	((3.218832935157e-02 1.475202529025e-08 -1.209645788431e-04) (-2.194496963833e-03 -2.172682620548e-04 1.032434710036e-04)) ((-2.741719836151e-05 -8.198080269427e-03 -7.296639316081e-03) (7.269475745637e-05 -1.491770684319e-04 7.117515942977e-04))
0.06003             	((-3.059241753162e-02 -1.567788702212e-08 1.494063009008e-04) (-2.164748302037e-03 -2.206858013199e-04 1.000033001300e-04)) ((1.496236451264e-05 -1.624301329733e-02 3.061993479325e-03) (7.490071541027e-05 -1.503382336301e-04 7.107182102142e-04))
