# Forces            
# CofR              : (1.500000000000e+00 0.000000000000e+00 5.000000000000e-01)
# Time              forces(pressure viscous)	moments(pressure viscous)
0                   	((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (-3.601274694538e+01 -4.712230316982e-04 -2.962715215298e-02)) ((0.000000000000e+00 0.000000000000e+00 0.000000000000e+00) (1.116832947538e-04 -2.607449223814e+00 6.725031571173e-04))
0.00667             	((-4.411175216979e+04 2.965750450196e+00 4.586207301597e+03) (-3.895687209184e+01 -2.768127385888e-03 3.276913249094e-01)) ((4.870905255211e-02 4.717714811805e+01 -5.476945036598e-01) (5.192564535580e-04 -2.807140028766e+00 -3.147178260291e-03))
0.01334             	((2.214062531408e+04 -5.733285065137e+00 1.856626667012e+03) (-2.920617889884e+01 -4.550667079944e-03 1.142125350953e+00)) ((-1.299888023741e+00 1.864336717828e+03 -1.756315204367e+00) (1.011457145500e-03 -1.804727941520e+00 2.102005576484e-03))
0.02001             	((-3.168761670066e+03 2.154824167109e+00 3.158348795463e+03) (-2.711571012209e+01 -3.157989776173e-03 2.118483978996e+00)) ((1.462019172105e+00 9.695973877500e+02 2.650395389436e+00) (9.177423316905e-04 -1.594729204961e+00 1.672160690569e-03))
0.02668             	((-1.907103558840e+03 1.254475898623e+00 2.589832950351e+03) (-2.802127392953e+01 -2.422825393548e-03 3.126197306595e+00)) ((-9.756489696049e-01 9.853554398690e+02 -1.925907583138e+00) (8.496705324125e-04 -1.609431871864e+00 6.869788705961e-04))
0.03335             	((1.469760464999e+03 -2.640169413333e+00 2.560726987013e+03) (-2.717344983306e+01 -2.258349689787e-03 4.060291043205e+00)) ((2.541898275842e-01 1.242738636336e+03 9.850432240155e-01) (9.132315611020e-04 -1.424222728995e+00 5.585789742435e-04))
0.04002             	((-4.644877227434e+02 1.885404546443e+00 2.580092028852e+03) (-2.677759474324e+01 -1.749058795283e-03 4.992843779884e+00)) ((5.941017374354e-02 1.025134348927e+03 -3.447694993285e-01) (9.969541060476e-04 -1.301058790617e+00 1.037365163521e-04))
0.04669             	((-1.832416542491e+02 -5.767368639732e-01 2.580328553001e+03) (-2.651570005033e+01 -1.432405937496e-03 5.917309748628e+00)) ((-2.563815236239e-01 1.095867276114e+03 -8.971949079236e-02) (9.962966692816e-04 -1.176538519408e+00 -3.160773436308e-04))
0.05336             	((1.041878531330e+01 -4.670212748252e-01 2.521351495219e+03) (-2.616298728103e+01 -1.105399178789e-03 6.816535566801e+00)) ((1.571466086267e-01 1.075747682105e+03 2.501719497451e-01) (1.007802375005e-03 -1.033650689448e+00 -7.552791447956e-04))
0.06003             	((-1.283885843239e+02 9.577767742974e-01 2.488791764398e+03) (-2.589031157343e+01 -6.026279142317e-04 7.704014087614e+00)) ((-1.978972932001e-01 1.039255986353e+03 -5.392197683956e-01) (9.813843395693e-04 -8.976931335969e-01 -1.382569684430e-03))
0.0667              	((-8.697885286316e+01 -1.011782513166e+00 2.480913276611e+03) (-2.565662635334e+01 -2.993035790793e-04 8.584174075612e+00)) ((5.770850745267e-02 1.052332078804e+03 4.855656631702e-01) (9.973929593324e-04 -7.553487223098e-01 -1.880059487872e-03))
