# Residuals         
# Time              	p                   	k                   	omega               
0                   	N/A                 	N/A                 	N/A                 
0.00667             	1.000000000000e+00	1.000000000000e+00	9.943142706892e-04
0.01334             	1.193535972451e-02	4.004271239037e-02	7.895751373662e-04
0.02001             	9.797377725311e-03	1.652543202763e-02	7.065290609210e-04
0.02668             	1.521272635328e-02	8.798511076614e-03	6.695798329993e-04
0.03335             	2.628046053516e-02	5.483535083603e-03	6.391932530553e-04
0.04002             	1.401110171099e-02	3.766491532858e-03	6.062035304601e-04
0.04669             	4.585972105621e-02	2.858717054177e-03	5.722401679183e-04
0.05336             	4.896450661179e-02	2.291184063740e-03	5.401958668629e-04
0.06003             	3.004659851253e-02	1.892072516871e-03	5.105979763336e-04
0.0667              	4.329425129767e-02	1.595751954350e-03	4.837955635285e-04
0.07337             	3.801483993212e-02	1.372463266180e-03	4.600178262220e-04
0.08337             	6.769466184590e-02	1.758968945325e-03	6.442991378783e-04
0.09337             	5.607733563712e-02	1.539012440257e-03	6.176777004001e-04
0.10337             	5.743756525827e-02	1.359723405475e-03	5.887384015698e-04
0.11337             	6.402189333205e-02	1.216342529386e-03	5.619832793301e-04
0.12337             	6.941871389705e-02	1.100439669662e-03	5.379214588316e-04
0.13337             	6.509005700222e-02	1.005261603108e-03	5.163333638348e-04
0.14337             	5.315155572895e-02	9.257779919846e-04	4.968216479788e-04
0.15337             	4.427242231265e-02	8.584436545782e-04	4.790618576117e-04
0.16337             	3.752624313456e-02	8.006770199592e-04	4.627906850949e-04
0.17337             	3.201554590303e-02	7.505740043306e-04	4.477933988810e-04
0.18337             	2.767038857316e-02	7.067276899021e-04	4.339140077678e-04
0.19337             	2.388776578339e-02	6.680487215316e-04	4.210164576011e-04
0.20337             	2.073359831456e-02	6.337039567454e-04	4.089959234080e-04
0.21337             	1.794683087018e-02	6.030351367551e-04	3.977640482443e-04
0.22337             	1.545371396459e-02	5.755154178577e-04	3.872458430346e-04
0.23337             	1.331447729589e-02	5.507175104004e-04	3.773797418144e-04
0.24337             	1.152307271418e-02	5.282867151799e-04	3.681059853794e-04
0.25337             	1.065484922370e-02	5.079277882293e-04	3.593706453832e-04
0.26337             	1.079988764829e-02	4.893730287094e-04	3.515083538773e-04
0.27337             	1.164651251215e-02	4.723898440851e-04	3.440632893091e-04
0.28337             	1.296812076495e-02	4.567885161285e-04	3.369575638050e-04
