# Motion State      
# Angle Units       : [deg]
# Angular Velocity Units: [rad/s]
# Time              	Centre of rotation	Orientation	Linear velocity	Angular velocity
0                   	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)	(0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
0.00667             	(-4.763253946502e-04 1.796229860106e-08 -3.829092979421e-05)	(-8.282070093667e-06 -5.522444701348e-04 -4.000606130088e-06)	(-1.428262052924e-01 5.385996582026e-06 -1.148153816918e-02)	(4.334314602960e-05 2.890100233818e-03 2.093665638351e-05)
0.01334             	(-1.795914582831e-03 1.020233889043e-07 -1.541372819050e-04)	(-2.109271439416e-05 -5.202812758447e-03 -8.861165289688e-06)	(-2.528527117035e-01 1.981972764683e-05 -2.325499919536e-02)	(2.369631009943e-05 2.144804931674e-02 4.499160793105e-06)
0.02001             	(-3.381312518115e-03 1.871272026444e-07 -3.228657774892e-04)	(-2.754144378517e-05 -1.853961957230e-02 -9.696829308498e-06)	(-2.225289780367e-01 5.698657282756e-06 -2.733825285389e-02)	(1.004043906569e-05 4.834840964075e-02 -1.312999800746e-07)
0.02668             	(-4.916738001195e-03 2.265717615882e-07 -5.414765665248e-04)	(-3.617229325382e-05 -4.102375648171e-02 -1.251025740858e-05)	(-2.378684681644e-01 6.128796673399e-06 -3.821220862605e-02)	(3.510812253495e-05 6.931942201260e-02 1.483311152374e-05)
0.03335             	(-6.555743350291e-03 2.721443870111e-07 -8.298103701174e-04)	(-4.606995085729e-05 -7.176461905692e-02 -1.654274565411e-05)	(-2.535874086260e-01 7.536158475906e-06 -4.824470399541e-02)	(1.664686262995e-05 9.155891888298e-02 6.221332170217e-06)
0.04002             	(-8.276198964917e-03 2.979485200733e-07 -1.180794811781e-03)	(-5.402708415278e-05 -1.111571655324e-01 -1.984748870152e-05)	(-2.622913363892e-01 2.012127571107e-07 -5.699800714817e-02)	(2.493188407076e-05 1.145968942461e-01 1.100873218712e-05)
0.04669             	(-1.006643952365e-02 3.324695925654e-07 -1.595408603278e-03)	(-6.295198390429e-05 -1.590796072612e-01 -2.328593764155e-05)	(-2.745124293490e-01 1.014993341745e-05 -6.732396931277e-02)	(2.167915510569e-05 1.361990259404e-01 6.877477680257e-06)
0.05336             	(-1.193683459656e-02 3.742920171258e-07 -2.075263701545e-03)	(-7.108774013653e-05 -2.153180196092e-01 -2.639136170400e-05)	(-2.863256734702e-01 2.390523722108e-06 -7.656061787355e-02)	(2.077159820015e-05 1.581174543077e-01 9.236790571698e-06)
0.06003             	(-1.388315578497e-02 4.129980829559e-07 -2.618377315206e-03)	(-7.898074789934e-05 -2.798170941093e-01 -2.930040415356e-05)	(-2.972788807765e-01 9.215493018553e-06 -8.629203989594e-02)	(2.036905495112e-05 1.794301362720e-01 5.810289956386e-06)
0.0667              	(-1.590256142149e-02 4.717268721776e-07 -3.225389266527e-03)	(-8.636514686108e-05 -3.524021247850e-01 -3.151001421948e-05)	(-3.082400507154e-01 8.394338832007e-06 -9.572053921084e-02)	(1.807387670296e-05 2.004342634345e-01 5.541549508976e-06)
0.07337             	(-1.799362202845e-02 5.266163920808e-07 -3.894845162610e-03)	(-9.325789126455e-05 -4.329386161466e-01 -3.360328968854e-05)	(-3.187646290311e-01 8.064287825643e-06 -1.050158614138e-01)	(1.775777869991e-05 2.210430805929e-01 5.167348163709e-06)
0.08337             	(-2.125563664412e-02 6.452226937637e-07 -5.014545310887e-03)	(-1.025426581029e-04 -5.681242298161e-01 -3.528599559361e-05)	(-3.336382941023e-01 1.565697251092e-05 -1.189241682415e-01)	(1.436157367339e-05 2.508437313995e-01 4.257091402814e-07)
0.09337             	(-2.466218735565e-02 7.796648671891e-07 -6.268362946006e-03)	(-1.108106969534e-04 -7.201284736336e-01 -3.608908756687e-05)	(-3.476718482039e-01 1.123146217417e-05 -1.318393587823e-01)	(1.416907901165e-05 2.797511749420e-01 2.055193733591e-06)
0.10337             	(-2.820345214067e-02 9.219102040866e-07 -7.650826036582e-03)	(-1.181473284610e-04 -8.883129444436e-01 -3.624109494970e-05)	(-3.605811088001e-01 1.721760520534e-05 -1.446532593329e-01)	(1.106162553283e-05 3.073233783463e-01 -1.882216659547e-06)
0.11337             	(-3.186808142285e-02 1.087078917852e-06 -9.159448885399e-03)	(-1.242733593880e-04 -1.071898107797e+00 -3.525501677585e-05)	(-3.723447476360e-01 1.581613754774e-05 -1.570713104306e-01)	(9.919115828467e-06 3.335097333312e-01 -1.924227296589e-06)
0.12337             	(-3.564409699035e-02 1.251074414719e-06 -1.079069278800e-02)	(-1.293611568565e-04 -1.270030716530e+00 -3.382369782481e-05)	(-3.828583658652e-01 1.698296182574e-05 -1.691774700904e-01)	(7.417286884075e-06 3.581035422707e-01 -3.433803074166e-06)
0.13337             	(-3.951843242129e-02 1.428894902471e-06 -1.254258333379e-02)	(-1.329780183623e-04 -1.481727362114e+00 -3.144569468453e-05)	(-3.920087203222e-01 1.858113572464e-05 -1.812006390660e-01)	(4.780078780293e-06 3.808571539116e-01 -5.169321001569e-06)
0.14337             	(-4.347750228886e-02 1.606240463817e-06 -1.441320919661e-02)	(-1.352349566118e-04 -1.705925664078e+00 -2.854171242620e-05)	(-3.998052531923e-01 1.688797654444e-05 -1.929245334981e-01)	(2.685248379351e-06 4.017425554224e-01 -5.186157320234e-06)
0.15337             	(-4.750728196671e-02 1.782602452138e-06 -1.640109276410e-02)	(-1.358507609201e-04 -1.941475497849e+00 -2.507919902088e-05)	(-4.061506823769e-01 1.838442111980e-05 -2.046521800003e-01)	(-9.252780212037e-07 4.204814749446e-01 -6.968422469009e-06)
0.16337             	(-5.159328455586e-02 1.956470958054e-06 -1.850591333967e-02)	(-1.346318092710e-04 -2.187122972602e+00 -2.106720433112e-05)	(-4.110498354542e-01 1.638928006350e-05 -2.163119351146e-01)	(-3.672102783126e-06 4.369899717839e-01 -6.882913633675e-06)
