# y+ ()             
# Time              	patch               	min                 	max                 	average             
0                   	zmax	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
0                   	zmin	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
0                   	body0	1.108821942823e+01	6.152516271001e+01	5.185308110525e+01
0                   	body1	1.144893371400e+01	6.151431660400e+01	5.194593862330e+01
0                   	body2	3.326171071342e+01	6.046592463971e+01	5.683042351912e+01
0                   	body3	2.875248944152e+01	6.023166345085e+01	5.363948226464e+01
0                   	body4	4.701586167883e+01	5.618007484423e+01	5.265414834546e+01
0                   	body5	3.333502998827e+01	5.793169618575e+01	4.808795957985e+01
0                   	body6	7.307692329226e+00	3.246236807706e+01	2.243420627397e+01
0                   	body7	6.965974306087e+00	3.443789119273e+01	2.245399464719e+01
0                   	body8	6.965974306087e+00	6.123286936440e+01	5.481909872011e+01
0                   	body9	7.020675523159e+00	6.123385058968e+01	5.466861449453e+01
0                   	body10	5.397975745874e+01	6.058193958285e+01	5.945234825892e+01
0                   	body11	1.200694214697e+01	6.082700015967e+01	4.088181073848e+01
0                   	body12	1.852011641103e+01	6.090404650872e+01	4.142044662758e+01
0                   	body13	1.951756280058e+01	6.463566205297e+01	4.608236222759e+01
0                   	body14	1.603255722061e+01	6.094423324386e+01	4.051289160498e+01
0                   	body15	1.549014938253e+01	5.933443382886e+01	4.115266259594e+01
0                   	body16	1.155861578013e+01	4.304088383231e+01	2.810500255176e+01
0                   	body17	1.421595357599e+01	5.936193010145e+01	4.172092214789e+01
0                   	body18	1.106759355962e+01	5.026247817203e+01	3.066325822858e+01
0                   	body19	2.905630603345e+01	6.215105867475e+01	4.957506837395e+01
0                   	body20	2.038060412627e+01	6.254912869215e+01	5.546005375988e+01
0                   	body21	2.695796128460e+01	6.297498851366e+01	4.758204550779e+01
0                   	body22	1.508377973770e+01	6.107920261705e+01	4.125015633085e+01
0                   	body23	7.020675523173e+00	6.127705088105e+01	3.953839463923e+01
0                   	body24	9.089550963683e+00	6.216521448416e+01	4.117564671318e+01
0                   	body25	7.308694312060e+00	6.123746159239e+01	3.955922748251e+01
0                   	body26	8.754201292725e+00	6.209617093081e+01	4.116417736294e+01
0                   	body27	1.141975794032e+01	6.177609906721e+01	4.047332348892e+01
0                   	body28	8.727337407672e+00	6.128783739106e+01	3.871362385888e+01
0                   	body29	8.727337407599e+00	6.187084754520e+01	5.021066156853e+01
0                   	body30	1.799957481895e+01	5.145528694880e+01	3.537105508018e+01
0                   	body31	1.138016597380e+01	6.356227024878e+01	4.047129019539e+01
0                   	body32	8.090499784848e+00	6.129408120252e+01	3.869373962979e+01
0                   	body33	8.090499793826e+00	6.186655536158e+01	4.961677424464e+01
0                   	body34	1.800166849347e+01	4.929390135329e+01	3.522847091905e+01
0                   	body35	4.271867492822e+01	6.051399936465e+01	5.826759282394e+01
0.96337             	zmax	1.036728964723e-01	3.590727601054e+00	1.708420096806e+00
0.96337             	zmin	2.306164629699e-01	6.257652050482e+00	3.555667020660e+00
0.96337             	body0	1.294594298232e+01	6.976585536769e+01	4.962384674911e+01
0.96337             	body1	1.329949944889e+01	6.961420727800e+01	4.981021066038e+01
0.96337             	body2	5.684393483253e+00	6.469844559386e+01	3.334285750954e+01
0.96337             	body3	4.788566496050e+00	5.136158618278e+01	2.665333877336e+01
0.96337             	body4	1.014364664651e+01	4.283766090976e+01	3.309405329105e+01
0.96337             	body5	7.564105207442e+00	4.927018172555e+01	3.109944778998e+01
0.96337             	body6	2.010337908621e+00	3.741291580286e+01	1.397997926000e+01
0.96337             	body7	1.505607385957e+00	4.025470300651e+01	1.402737157224e+01
0.96337             	body8	8.520425704033e-01	1.302087455396e+02	3.972312477023e+01
0.96337             	body9	1.151838421554e+00	1.295803438918e+02	3.948718431444e+01
0.96337             	body10	1.199949631527e+01	5.862089543474e+01	4.607361395352e+01
0.96337             	body11	4.494570424813e+00	6.929626195308e+01	3.205751346499e+01
0.96337             	body12	6.305896787265e+00	4.323789670300e+01	1.686430021158e+01
0.96337             	body13	6.796896446462e+00	6.936660554465e+01	2.195438448621e+01
0.96337             	body14	4.872733555326e+00	4.387103479381e+01	1.691521659641e+01
0.96337             	body15	4.286019382313e+00	3.577955937726e+01	1.908710113246e+01
0.96337             	body16	6.806055249477e+00	2.467038349501e+01	1.479975290698e+01
0.96337             	body17	4.441720355722e+00	3.619009186150e+01	1.929818041217e+01
0.96337             	body18	6.652849656929e+00	3.232730211099e+01	1.638481147585e+01
0.96337             	body19	2.191409508861e+01	5.229481716347e+01	3.703252974103e+01
0.96337             	body20	7.809479266271e+00	1.116261225828e+02	4.395662475625e+01
0.96337             	body21	2.121258926258e+01	5.727293732349e+01	3.684825616345e+01
0.96337             	body22	1.502052180141e+00	1.218284308366e+02	2.478810706825e+01
0.96337             	body23	1.087488732749e+00	1.095343352349e+02	2.212025965087e+01
0.96337             	body24	1.690729266089e+00	1.299804639266e+02	2.760365679559e+01
0.96337             	body25	1.111534818014e+00	1.110028209399e+02	2.198610407557e+01
0.96337             	body26	2.161568644191e+00	1.324953285041e+02	2.755512645502e+01
0.96337             	body27	1.830240668026e+00	1.098001541308e+02	3.340419891492e+01
0.96337             	body28	1.324381351729e+00	8.189113948637e+01	2.747347352169e+01
0.96337             	body29	2.536163874571e+00	8.907113703511e+01	4.129991057670e+01
0.96337             	body30	4.561307081730e+00	5.721304692586e+01	2.620821392760e+01
0.96337             	body31	1.963279288497e+00	1.084434819283e+02	3.294254022202e+01
0.96337             	body32	2.053223634887e+00	8.554702652027e+01	2.770726958501e+01
0.96337             	body33	2.548516876441e+00	8.852100308738e+01	4.119027947893e+01
0.96337             	body34	9.319148134820e+00	6.951027509348e+01	3.308745935876e+01
0.96337             	body35	2.677598086910e+01	1.012844880264e+02	5.572128691955e+01
1.96337             	zmax	3.357759532069e-02	3.843253592138e+00	1.902383383867e+00
1.96337             	zmin	3.165283239955e-01	6.290590881768e+00	3.844840207107e+00
1.96337             	body0	1.075496034955e+01	6.018951380822e+01	4.810307418184e+01
