# Residuals         
# Time              	p_rgh               	k                   	omega               
0                   	N/A                 	N/A                 	N/A                 
0.0153              	1.000000000000e+00	9.999999998881e-01	1.409659473512e-03
0.0306              	7.362891322133e-05	4.623156428994e-01	1.103359682534e-03
0.0459              	6.094666021940e-05	3.121217752703e-01	1.096687303248e-03
0.0612              	7.845985758482e-05	5.130468466820e-01	3.333217565453e-03
0.0765              	7.339597934929e-05	3.313284727213e-01	1.003753119592e-03
0.0918              	1.031797263699e-04	3.777905690836e-01	1.809259969630e-02
0.1071              	9.068249786890e-05	2.597592378119e-01	9.458258765010e-04
0.1224              	1.092450013349e-04	2.318299555052e-01	1.859111883545e-03
0.1377              	8.614118645158e-05	2.223152666468e-01	8.832938277507e-04
0.153               	7.286500116476e-05	2.334451345075e-01	8.508556018539e-04
0.1683              	6.901608255553e-05	2.642430959589e-01	8.389090006645e-04
0.1836              	8.962012785888e-05	2.820260541836e-01	8.001523261314e-04
0.1989              	9.604295362274e-05	2.671794495022e-01	7.763933872821e-04
0.2142              	9.246791653624e-05	2.559755499614e-01	7.464499697828e-04
0.2295              	8.039962478599e-05	2.114339156404e-01	7.236652276526e-04
0.2448              	7.890246563604e-05	1.502955654361e-01	7.014206387596e-04
0.2601              	7.727353086279e-05	1.203823325093e-01	6.833326264010e-04
0.2754              	7.639960806750e-05	9.509973610043e-02	6.617610502137e-04
0.2907              	7.249082787772e-05	7.820733315155e-02	6.434072127980e-04
0.306               	7.176040574675e-05	6.485352409495e-02	6.230091249787e-04
0.3213              	6.874066010755e-05	5.442633846093e-02	6.105665381731e-04
0.3366              	6.627959009330e-05	4.629039413756e-02	5.957047366401e-04
0.3519              	6.552572103964e-05	4.002752601257e-02	5.823417586235e-04
0.3672              	6.548065038043e-05	3.468931401979e-02	5.662953803694e-04
0.3825              	6.650864534086e-05	3.044383320202e-02	5.500245936515e-04
0.3978              	6.511990811665e-05	2.668303948290e-02	5.357128324832e-04
0.4131              	6.547212718181e-05	2.364215134908e-02	5.229886789810e-04
0.4284              	6.554125728859e-05	2.091355064826e-02	5.107764052661e-04
0.4437              	6.555307246534e-05	1.861381282459e-02	4.979864359840e-04
0.459               	6.646544179069e-05	1.658410455500e-02	4.840588991237e-04
0.4743              	6.627475358936e-05	1.478071843741e-02	4.736280055752e-04
0.4896              	6.747463907566e-05	1.312970450578e-02	4.627615861937e-04
0.5049              	6.707682097181e-05	1.169959188889e-02	4.511667704239e-04
0.5202              	6.618533859325e-05	1.035907611708e-02	4.418340555466e-04
0.5355              	6.596147905567e-05	9.160485120272e-03	4.320730577084e-04
0.5508              	6.730247271358e-05	8.022976741915e-03	4.208934459205e-04
0.5661              	6.862121478188e-05	7.026853315734e-03	4.114715622824e-04
0.5814              	6.865802297293e-05	6.162221729961e-03	4.022133169508e-04
0.5967              	6.796537993020e-05	5.424758268124e-03	3.935837316678e-04
0.612               	6.851220415874e-05	4.776768525238e-03	3.834503599797e-04
0.6273              	6.847709110320e-05	4.210209026154e-03	3.742358979631e-04
0.6426              	6.752147907040e-05	3.718476638310e-03	3.666648554593e-04
0.6579              	6.753087765517e-05	3.295149770925e-03	3.576751045984e-04
0.6732              	6.870532049614e-05	2.929611528898e-03	3.485734540477e-04
0.6885              	6.857398976131e-05	2.616402092693e-03	3.421249351435e-04
0.7038              	6.905729554941e-05	2.343353184363e-03	3.350736817372e-04
0.7191              	6.838745318980e-05	2.109725691842e-03	3.264310885815e-04
0.7344              	6.885061283441e-05	1.906920392162e-03	3.196067508553e-04
0.7497              	6.759560572273e-05	1.730398210727e-03	3.125204335559e-04
0.765               	6.838564578121e-05	1.574530631210e-03	3.060707159553e-04
0.7803              	6.867359473472e-05	1.437450678090e-03	2.982760226509e-04
0.7956              	6.853368126451e-05	1.317541556168e-03	2.919346354393e-04
0.8109              	6.762813408432e-05	1.210902228581e-03	2.860715470751e-04
0.8262              	6.861463294830e-05	1.115312955159e-03	2.803670886336e-04
0.8415              	7.044152879024e-05	1.029933096190e-03	2.738268876679e-04
0.8568              	6.995518321668e-05	9.538938457320e-04	2.685458421374e-04
0.8721              	6.942622607872e-05	8.851360167249e-04	2.645352513616e-04
0.8874              	7.039487875551e-05	8.251227878911e-04	2.587421985578e-04
0.9027              	7.071337531634e-05	7.715294658770e-04	2.537624894144e-04
0.918               	7.104342210225e-05	7.240125363932e-04	2.484542984052e-04
0.9333              	7.137558871979e-05	6.816338361091e-04	2.498807218057e-04
0.9486              	7.099051967280e-05	6.418965889658e-04	2.394052354621e-04
0.9639              	7.188597663777e-05	6.065582407648e-04	2.347679432956e-04
0.9792              	7.344278585938e-05	5.753475658041e-04	2.296444764265e-04
0.9945              	7.282915064962e-05	5.456160710488e-04	2.295301731310e-04
1.0098              	7.384035949666e-05	5.170964666157e-04	2.207404495670e-04
1.0251              	7.311123559657e-05	4.905277261347e-04	2.163110750824e-04
1.0404              	7.380461617869e-05	4.652633808696e-04	2.110939015968e-04
1.0557              	7.389844145510e-05	4.416758544267e-04	2.063277038532e-04
1.071               	7.504519761695e-05	4.201628786887e-04	2.028859135638e-04
1.0863              	7.518951978073e-05	3.989725764329e-04	1.980605723597e-04
1.1016              	7.484722720007e-05	3.793914240316e-04	1.944385293192e-04
1.1169              	7.538111472920e-05	3.612657293120e-04	1.900977482951e-04
1.1322              	7.636922447441e-05	3.435876726419e-04	1.860681665959e-04
1.1475              	7.669655838924e-05	3.264934076165e-04	1.822235040596e-04
1.1628              	7.679939712543e-05	3.105311570008e-04	1.780107457666e-04
1.1781              	7.736877277998e-05	2.944640364071e-04	1.734475944370e-04
1.1934              	7.780470340386e-05	2.806698492697e-04	1.691583619183e-04
1.2087              	7.780056594984e-05	2.677892792205e-04	1.659304610505e-04
1.224               	7.941076553244e-05	2.555168274529e-04	1.633033723875e-04
1.2393              	7.767082223927e-05	2.439246207330e-04	1.603018951294e-04
1.2546              	7.784353274752e-05	2.314459447564e-04	1.577363161401e-04
1.2699              	7.736266902146e-05	2.197384927850e-04	1.554910408185e-04
1.2852              	7.917507460502e-05	2.108559385669e-04	1.530728633083e-04
1.3005              	7.840901469844e-05	2.038546407543e-04	1.509749340304e-04
1.3158              	7.832804043405e-05	1.994583278560e-04	1.494555937241e-04
1.3311              	7.946023797013e-05	1.958928258825e-04	1.480406422510e-04
1.3464              	7.966173086612e-05	1.928947647891e-04	1.470839943546e-04
1.3617              	7.851612809964e-05	1.925465575701e-04	1.466911180900e-04
1.377               	7.947493714739e-05	1.946524685290e-04	1.470108142122e-04
1.3923              	7.980840981846e-05	1.986997753804e-04	1.475320088731e-04
1.4076              	8.072639942754e-05	2.038564985388e-04	1.475955594287e-04
1.4229              	8.027762173568e-05	2.091182046525e-04	1.475130820710e-04
1.4382              	8.000713335007e-05	2.141239461249e-04	1.471164095900e-04
1.4535              	8.125945950932e-05	2.176994852712e-04	1.461567054100e-04
1.4688              	8.122978661210e-05	2.195056654584e-04	1.452269851824e-04
1.4841              	8.182749414761e-05	2.204480001752e-04	1.439921876301e-04
1.4994              	8.250980506764e-05	2.201629714868e-04	1.427166019638e-04
1.5147              	8.209279181710e-05	2.192111104087e-04	1.417749632246e-04
1.53                	8.298950876570e-05	2.179559351666e-04	1.400181399319e-04
1.5453              	8.284792410324e-05	2.169215501134e-04	1.388449930891e-04
1.5606              	8.379049853457e-05	2.153671111213e-04	1.374586434348e-04
1.5759              	8.421980039872e-05	2.133813909774e-04	1.361766575552e-04
1.5912              	8.469915957918e-05	2.121174631902e-04	1.342488805744e-04
1.6065              	8.442260438022e-05	2.116256921784e-04	1.328466982300e-04
1.6218              	8.512454845329e-05	2.102449820848e-04	1.320084412726e-04
1.6371              	8.592926657744e-05	2.090714975540e-04	1.298193302158e-04
1.6524              	8.485823902939e-05	2.084240825149e-04	1.286834386177e-04
1.6677              	8.608976721502e-05	2.085528132016e-04	1.277982021530e-04
1.683               	8.617858383201e-05	2.085422710645e-04	1.259414273355e-04
1.6983              	8.699442142958e-05	2.082489727873e-04	1.242025396583e-04
1.7136              	8.712116659648e-05	2.087555880525e-04	1.226648117065e-04
1.7289              	8.797091574869e-05	2.097469363032e-04	1.213433977929e-04
1.7442              	8.784452848383e-05	2.111459017235e-04	1.198398728091e-04
1.7595              	8.888351266952e-05	2.122368143674e-04	1.186236268214e-04
1.7748              	8.834270545159e-05	2.135690200878e-04	1.170815766693e-04
1.7901              	8.792850169870e-05	2.164998884771e-04	1.155771385833e-04
1.8054              	8.860019881697e-05	2.177519250163e-04	1.149806754818e-04
1.8207              	8.961982007979e-05	2.206275546132e-04	1.137054123820e-04
1.836               	8.988792968139e-05	2.238545081103e-04	1.125284412856e-04
1.8513              	9.012587730363e-05	2.260811817290e-04	1.106575802421e-04
1.8666              	9.011315717534e-05	2.301680207714e-04	1.091268403579e-04
1.8819              	9.025002793357e-05	2.342151929641e-04	1.077891952215e-04
1.8972              	9.060532061327e-05	2.399423750046e-04	1.069767352603e-04
1.9125              	9.121151680769e-05	2.447222186033e-04	1.059154231876e-04
1.9278              	9.134388429836e-05	2.487266252950e-04	1.047363771224e-04
1.9431              	9.201248737204e-05	2.551308978993e-04	1.040403775172e-04
1.9584              	9.192702712292e-05	2.618230500078e-04	1.029325235633e-04
1.9737              	9.269589738767e-05	2.670648789973e-04	1.023562997918e-04
1.989               	9.318901495125e-05	2.738385552418e-04	1.010219820155e-04
2.0043              	9.304051540528e-05	2.817046783882e-04	1.007317818385e-04
2.0196              	9.351620097628e-05	2.896224918090e-04	9.917460228752e-05
2.0349              	9.404493068548e-05	2.966654655125e-04	9.846857104060e-05
2.0502              	9.437107775256e-05	3.043854985309e-04	9.735968090868e-05
2.0655              	9.477344187266e-05	3.138649194102e-04	9.689003597084e-05
2.0808              	9.535336184868e-05	3.221732892992e-04	9.619856486838e-05
2.0961              	9.520178010113e-05	3.305631126624e-04	9.527282093208e-05
2.1114              	9.579024014473e-05	3.392109969379e-04	9.438174061065e-05
2.1267              	9.632223899478e-05	3.477746251137e-04	9.377570200937e-05
2.142               	9.598331502887e-05	3.546063187894e-04	9.423539476542e-05
2.1573              	9.621642128567e-05	3.637550597556e-04	9.188452160464e-05
2.1726              	9.658447915485e-05	3.727472397949e-04	9.073934699325e-05
2.1879              	9.748248647804e-05	3.764681975077e-04	8.931897627238e-05
2.2032              	9.807921535522e-05	3.833777703515e-04	8.861572749991e-05
2.2185              	9.797772448468e-05	3.901544881904e-04	8.761615319288e-05
2.2338              	9.839747701697e-05	3.941959664547e-04	8.687450902988e-05
2.2491              	9.891915876159e-05	3.995821326288e-04	8.625308070909e-05
2.2644              	9.899025991796e-05	4.033484196240e-04	8.513867252785e-05
2.2797              	9.861651596626e-05	4.084170954268e-04	8.472409556367e-05
2.295               	9.912279658095e-05	4.106781220585e-04	8.384417671365e-05
2.3103              	9.995925335014e-05	4.125950317739e-04	8.304619325857e-05
2.3256              	1.005320052199e-04	4.147571423915e-04	8.229385239591e-05
2.3409              	9.979265094130e-05	4.155342100712e-04	8.198680697924e-05
2.3562              	1.007011859252e-04	4.167324030520e-04	8.078817325193e-05
2.3715              	1.013048459040e-04	4.176314252076e-04	8.021335779731e-05
2.3868              	1.008523832297e-04	4.166402192736e-04	7.927474590336e-05
2.4021              	1.008891212987e-04	4.143766097252e-04	7.848991653900e-05
2.4174              	1.014594799422e-04	4.147129765394e-04	7.781489276830e-05
2.4327              	1.016148935681e-04	4.132587771679e-04	7.734567147829e-05
2.448               	1.020117583747e-04	4.099161145002e-04	7.654020878545e-05
2.4633              	1.015570970511e-04	4.052469534520e-04	7.579763262671e-05
2.4786              	1.021729428980e-04	4.044772788014e-04	7.522184764131e-05
2.4939              	1.018006385809e-04	4.036695347044e-04	7.460598828842e-05
2.5092              	1.024116423479e-04	3.971045969350e-04	7.364239995681e-05
2.5245              	1.030834322933e-04	3.941781032369e-04	7.298605649241e-05
2.5398              	1.032336542517e-04	3.930289482468e-04	7.209283662146e-05
2.5551              	1.028491823714e-04	3.896587395510e-04	7.152005836040e-05
2.5704              	1.028055932652e-04	3.853064738444e-04	7.503208536177e-05
2.5857              	1.032119689970e-04	3.809671548264e-04	1.273386460122e-01
2.601               	1.034552163436e-04	3.791835550873e-04	6.963176914325e-05
2.6163              	1.031816905975e-04	3.742274970299e-04	6.896385437043e-05
2.6316              	1.037148468909e-04	3.691837835082e-04	6.800029074552e-05
2.6469              	1.038893226696e-04	3.660790075771e-04	6.742330820897e-05
2.6622              	1.042419775077e-04	3.613789773086e-04	6.681972963609e-05
2.6775              	1.039315121591e-04	3.564364275547e-04	6.642281832236e-05
2.6928              	1.038017270861e-04	3.530658458981e-04	6.599276651511e-05
2.7081              	1.041095933709e-04	3.488222432823e-04	6.528244753811e-05
2.7234              	1.039682951881e-04	3.429025234097e-04	6.484239999410e-05
2.7387              	1.037205845853e-04	3.393686988267e-04	6.395615737422e-05
2.754               	1.041692501334e-04	3.330815435064e-04	6.345837566682e-05
2.7693              	1.041437777307e-04	3.283987882000e-04	6.279664081716e-05
2.7846              	1.041233629098e-04	3.272067779584e-04	6.249787924321e-05
2.7999              	1.045811674966e-04	3.240798418774e-04	6.188435665063e-05
2.8152              	1.046268242898e-04	3.199640575744e-04	6.136529205065e-05
2.8305              	1.046247710585e-04	3.177136264139e-04	6.069919384199e-05
2.8458              	1.045325228636e-04	3.155426329828e-04	6.015030154113e-05
2.8611              	1.040283748670e-04	3.109578178688e-04	5.975802139817e-05
2.8764              	1.040780053680e-04	3.045563885051e-04	5.919988191817e-05
2.8917              	1.042617550352e-04	2.981204715121e-04	5.871365501124e-05
2.907               	1.042254744257e-04	2.944199528413e-04	5.802787490189e-05
2.9223              	1.035753869291e-04	2.911654624820e-04	5.831478688325e-05
2.9376              	1.043248367671e-04	2.883937172100e-04	5.724118486932e-05
2.9529              	1.043609627765e-04	2.841688529213e-04	5.698487988087e-05
2.9682              	1.045393878508e-04	2.792825440003e-04	5.608983272120e-05
2.9835              	1.042843990199e-04	2.774118590629e-04	5.556465730864e-05
2.9988              	1.049586140522e-04	2.740440776161e-04	5.517723396191e-05
3.0141              	1.049880538857e-04	2.674528522680e-04	5.459819960148e-05
3.0294              	1.045902599763e-04	2.627172111220e-04	5.393493102908e-05
3.0447              	1.042938345179e-04	2.588643498291e-04	5.355742899181e-05
3.06                	1.054498115853e-04	2.539325437853e-04	5.313115180131e-05
3.0753              	1.052666339258e-04	2.511526740233e-04	5.382165615742e-05
3.0906              	1.050501515268e-04	2.465137824283e-04	5.252500808363e-05
3.1059              	1.056690305149e-04	2.402104157814e-04	5.212194638228e-05
3.1212              	1.056006722084e-04	2.389543966558e-04	5.267466335961e-05
3.1365              	1.054056804683e-04	2.351436219337e-04	5.123744975734e-05
3.1518              	1.052071962025e-04	2.300012922092e-04	5.088853618909e-05
3.1671              	1.055069751346e-04	2.285598820850e-04	5.038910615358e-05
3.1824              	1.057855898808e-04	2.214141215919e-04	5.013927631746e-05
3.1977              	1.062552885047e-04	2.170280258541e-04	4.983123864892e-05
3.213               	1.059494574479e-04	2.168313689031e-04	4.902570599151e-05
3.2283              	1.061772494874e-04	2.123613300201e-04	4.864669952447e-05
3.2436              	1.068125564262e-04	2.049386912654e-04	4.805815760745e-05
3.2589              	1.066596341632e-04	2.002922996922e-04	4.758236436340e-05
3.2742              	1.064920332529e-04	1.951008333679e-04	4.729070144183e-05
3.2895              	1.066890137848e-04	1.908528506839e-04	4.685187398511e-05
3.3048              	1.070010580520e-04	1.872169497144e-04	4.658640106971e-05
3.3201              	1.072131005567e-04	1.845510176034e-04	4.624195310908e-05
3.3354              	1.074077993951e-04	1.822217867680e-04	4.585594689764e-05
3.3507              	1.074025418879e-04	1.794901729180e-04	4.545288057088e-05
3.366               	1.075537496128e-04	1.765210544573e-04	4.504900281721e-05
3.3813              	1.075435260172e-04	1.744134337775e-04	4.458304170868e-05
3.3966              	1.075104908635e-04	1.729614299134e-04	4.423155988497e-05
3.4119              	1.077987988060e-04	1.687908028430e-04	4.404082271412e-05
3.4272              	1.079510951022e-04	1.657193479885e-04	4.374987033892e-05
3.4425              	1.077356524560e-04	1.637506451095e-04	4.337420595160e-05
3.4578              	1.079209572903e-04	1.609206437233e-04	4.304444634521e-05
3.4731              	1.079324916685e-04	1.560645658219e-04	4.288498445753e-05
3.4884              	1.081284320724e-04	1.538607387047e-04	4.256379013148e-05
3.5037              	1.079431158729e-04	1.514820125867e-04	4.208212933610e-05
3.519               	1.078812704376e-04	1.482537728451e-04	4.179387512755e-05
3.5343              	1.081440606037e-04	1.449131095649e-04	4.138829124752e-05
3.5496              	1.084070400910e-04	1.402869022411e-04	4.117793020854e-05
3.5649              	1.081008149778e-04	1.361456754128e-04	4.090483813058e-05
3.5802              	1.082766610034e-04	1.327545525425e-04	4.054821222171e-05
3.5955              	1.082593838935e-04	1.316753809372e-04	4.035371459964e-05
3.6108              	1.081457136677e-04	1.290516530895e-04	4.028699142695e-05
3.6261              	1.081208511439e-04	1.251459646982e-04	3.951725007100e-05
3.6414              	1.077069670276e-04	1.232036915146e-04	3.935436089923e-05
3.6567              	1.076781669867e-04	1.217779181580e-04	3.885982683497e-05
3.672               	1.077249041065e-04	1.187600734199e-04	3.890523258162e-05
3.6873              	1.078118214045e-04	1.163600329503e-04	3.821626388830e-05
3.7026              	1.075842750234e-04	1.162738900126e-04	3.827028114413e-05
3.7179              	1.079397583379e-04	1.151193788482e-04	3.774973565341e-05
3.7332              	1.076599041974e-04	1.122702062435e-04	3.775104166522e-05
3.7485              	1.071664643573e-04	1.100622502277e-04	3.266299058284e-04
3.7638              	1.066477900092e-04	1.093571815631e-04	3.697060244637e-05
3.7791              	1.066994092943e-04	1.083668163031e-04	3.672081370050e-05
3.7944              	1.064059507540e-04	1.064976991861e-04	3.658511702191e-05
3.8097              	1.066699819623e-04	1.039601775009e-04	3.619814794334e-05
3.825               	1.067094054068e-04	1.020569574103e-04	3.597951476247e-05
3.8403              	1.065544071487e-04	1.006940699022e-04	3.668244656101e-05
3.8556              	1.063618349362e-04	9.806623248720e-05	3.555928167902e-05
3.8709              	1.063813795620e-04	9.491064398800e-05	3.514923452541e-05
3.8862              	1.057985371430e-04	9.201998257326e-05	3.472669355629e-05
3.9015              	1.057835637113e-04	9.003309490193e-05	3.463186726693e-05
3.9168              	1.051168521299e-04	8.769450356590e-05	3.439116638544e-05
3.9321              	1.053168850421e-04	8.554144530287e-05	3.431591760938e-05
3.9474              	1.051289107837e-04	8.420193016067e-05	3.399707958397e-05
3.9627              	1.049396542949e-04	8.222842664661e-05	3.371260869885e-05
3.978               	1.052667442705e-04	7.900311526910e-05	3.329299586490e-05
3.9933              	1.051035682902e-04	7.675860796288e-05	3.320096436947e-05
4.0086              	1.049204417312e-04	7.401311882344e-05	3.267516397588e-05
4.0239              	1.046718264335e-04	7.149808035541e-05	3.284010891058e-05
4.0392              	1.045768376990e-04	6.930679261570e-05	3.230098208664e-05
4.0545              	1.045859060038e-04	6.734160077679e-05	3.209007405885e-05
4.0698              	1.036551685736e-04	6.557523529417e-05	3.171402702310e-05
4.0851              	1.038573442439e-04	6.413754890627e-05	3.152752213382e-05
4.1004              	1.037743823464e-04	6.277183724059e-05	3.135443303857e-05
4.1157              	1.042666136618e-04	6.123618999640e-05	3.109416680143e-05
4.131               	1.033526300808e-04	6.043892636021e-05	3.098596799717e-05
4.1463              	1.038873429829e-04	5.962767464504e-05	3.082165422168e-05
4.1616              	1.036836049475e-04	5.879616972649e-05	3.071479387000e-05
4.1769              	1.035366296261e-04	5.811478668529e-05	3.049474195157e-05
4.1922              	1.033353716169e-04	5.788388822252e-05	3.038122813199e-05
4.2075              	1.035642958863e-04	5.721325525648e-05	3.032394626669e-05
4.2228              	1.036234073778e-04	5.590217239242e-05	3.006718630853e-05
4.2381              	1.038453249172e-04	5.493064005731e-05	2.993299312882e-05
4.2534              	1.036486635684e-04	5.478655844509e-05	2.983994105490e-05
4.2687              	1.036594524515e-04	5.349696144956e-05	2.956810145967e-05
4.284               	1.039640822035e-04	5.170248879486e-05	2.927897638747e-05
4.2993              	1.043964333165e-04	5.187505906782e-05	2.915710972879e-05
4.3146              	1.048067877510e-04	5.076603591037e-05	2.892490106761e-05
4.3299              	1.044923379761e-04	4.989676035374e-05	2.873893176064e-05
