# Residuals         
# Time              	p_rgh               	k                   	omega               
509.2433487005      	N/A                 	N/A                 	N/A                 
509.2484436005      	9.423818746349e-05	1.817299330906e-06	6.741222961946e-07
509.2535385005      	8.852617923179e-05	1.807535231438e-06	6.562781601683e-07
509.2586334005      	8.664652938494e-05	1.807955093807e-06	6.266601221636e-07
509.2637283005      	9.008992826613e-05	1.797201281256e-06	6.053949700809e-07
509.2688232005      	9.292242216966e-05	1.802772299792e-06	6.306807664836e-07
509.2739181005      	9.651602879773e-05	1.826308990448e-06	5.941901076952e-07
509.2790130005      	9.677979492566e-05	1.826031840759e-06	5.841461917172e-07
509.2841079005      	9.799006233673e-05	1.842489383081e-06	6.171594444701e-07
509.2892028005      	9.892852569941e-05	1.835166623077e-06	5.870305631929e-07
509.2942977005      	9.858545091809e-05	1.815829302702e-06	5.797611614500e-07
509.2993926005      	9.850318109630e-05	1.807954296132e-06	6.087715185451e-07
509.3044875005      	9.836023671897e-05	1.791904331588e-06	5.803390400566e-07
509.3095824         	1.000218747166e-04	1.798815308542e-06	5.712232641185e-07
509.3125824005      	9.789382279270e-05	1.003497885841e-06	3.112093403191e-07
509.3155824005      	6.941553502500e-05	8.997922770874e-07	2.880511481879e-07
509.3185824005      	6.043831819771e-05	8.463129409898e-07	2.680486280496e-07
509.3215824005      	5.535120776643e-05	8.545107800733e-07	2.544955040375e-07
509.3245824005      	5.224723996281e-05	8.502633862496e-07	2.438129983804e-07
509.3275824005      	5.028236619131e-05	8.486841325422e-07	2.369142821358e-07
509.3305824005      	4.911707319510e-05	8.361717518426e-07	2.313683401488e-07
509.3335824005      	4.863876826189e-05	8.337346906580e-07	2.251164822179e-07
509.3365824005      	4.807465723004e-05	8.471009119928e-07	2.213801801925e-07
509.3395824005      	4.778842855808e-05	8.573885896622e-07	2.180014169363e-07
509.3425824005      	4.697919624900e-05	8.558733861913e-07	2.174819748397e-07
509.3455824005      	4.632820601721e-05	8.513581911911e-07	2.144816464010e-07
509.3485824005      	4.651794888258e-05	8.598090611684e-07	2.120497201670e-07
509.3515824005      	4.675993452852e-05	8.635358697301e-07	2.084903176801e-07
509.3545824005      	4.614552621102e-05	8.722032270677e-07	2.097146059372e-07
