# time              
# Time              	cpu                 	clock               	cpu/step            	clock/step          
0                   	1.398043000000e+00	1	4.157810000000e-01	0.000000000000e+00
0.0153              	5.087855000000e+00	5	3.689817000000e+00	4.000000000000e+00
0.0306              	8.550745000000e+00	8	3.462897000000e+00	3.000000000000e+00
0.0459              	1.353689100000e+01	13	4.986152000000e+00	5.000000000000e+00
0.0612              	1.705089800000e+01	17	3.514013000000e+00	4.000000000000e+00
0.0765              	2.034321400000e+01	20	3.292323000000e+00	3.000000000000e+00
0.0918              	2.376282600000e+01	24	3.419618000000e+00	4.000000000000e+00
0.1071              	2.711209100000e+01	27	3.349272000000e+00	3.000000000000e+00
0.1224              	3.051314000000e+01	31	3.401055000000e+00	4.000000000000e+00
0.1377              	3.387953800000e+01	34	3.366406000000e+00	3.000000000000e+00
0.153               	3.726048900000e+01	37	3.380958000000e+00	3.000000000000e+00
0.1683              	4.056560600000e+01	41	3.305125000000e+00	4.000000000000e+00
0.1836              	4.389923800000e+01	44	3.333640000000e+00	3.000000000000e+00
0.1989              	4.725378200000e+01	47	3.354551000000e+00	3.000000000000e+00
0.2142              	5.061369300000e+01	51	3.359919000000e+00	4.000000000000e+00
0.2295              	5.389787700000e+01	54	3.284191000000e+00	3.000000000000e+00
0.2448              	5.719686600000e+01	57	3.298996000000e+00	3.000000000000e+00
0.2601              	6.052542400000e+01	61	3.328565000000e+00	4.000000000000e+00
0.2754              	6.381486500000e+01	64	3.289448000000e+00	3.000000000000e+00
0.2907              	6.714972900000e+01	67	3.334871000000e+00	3.000000000000e+00
0.306               	7.046174300000e+01	71	3.312021000000e+00	4.000000000000e+00
0.3213              	7.377120900000e+01	74	3.309473000000e+00	3.000000000000e+00
0.3366              	7.705354900000e+01	77	3.282347000000e+00	3.000000000000e+00
0.3519              	8.035625600000e+01	81	3.302713000000e+00	4.000000000000e+00
0.3672              	8.366668700000e+01	84	3.310438000000e+00	3.000000000000e+00
0.3825              	8.698124100000e+01	87	3.314562000000e+00	3.000000000000e+00
0.3978              	9.029584500000e+01	90	3.314611000000e+00	3.000000000000e+00
0.4131              	9.362686400000e+01	94	3.331028000000e+00	4.000000000000e+00
0.4284              	9.695255000000e+01	97	3.325694000000e+00	3.000000000000e+00
0.4437              	1.002876140000e+02	101	3.335072000000e+00	4.000000000000e+00
0.459               	1.036165380000e+02	104	3.328932000000e+00	3.000000000000e+00
0.4743              	1.069525940000e+02	107	3.336062000000e+00	3.000000000000e+00
0.4896              	1.102786310000e+02	111	3.326045000000e+00	4.000000000000e+00
0.5049              	1.136730470000e+02	114	3.394422000000e+00	3.000000000000e+00
0.5202              	1.169704960000e+02	117	3.297455000000e+00	3.000000000000e+00
0.5355              	1.203742050000e+02	121	3.403717000000e+00	4.000000000000e+00
0.5508              	1.236917360000e+02	124	3.317537000000e+00	3.000000000000e+00
0.5661              	1.271569480000e+02	127	3.465220000000e+00	3.000000000000e+00
0.5814              	1.304722910000e+02	131	3.315350000000e+00	4.000000000000e+00
0.5967              	1.338408840000e+02	134	3.368600000000e+00	3.000000000000e+00
0.612               	1.371868760000e+02	138	3.345999000000e+00	4.000000000000e+00
0.6273              	1.405245360000e+02	141	3.337668000000e+00	3.000000000000e+00
0.6426              	1.438573880000e+02	144	3.332858000000e+00	3.000000000000e+00
0.6579              	1.471838160000e+02	148	3.326435000000e+00	4.000000000000e+00
0.6732              	1.505143610000e+02	151	3.330551000000e+00	3.000000000000e+00
0.6885              	1.538292490000e+02	154	3.314896000000e+00	3.000000000000e+00
0.7038              	1.571445750000e+02	158	3.315332000000e+00	4.000000000000e+00
0.7191              	1.605067570000e+02	161	3.362189000000e+00	3.000000000000e+00
0.7344              	1.638419880000e+02	164	3.335238000000e+00	3.000000000000e+00
0.7497              	1.672472240000e+02	168	3.405243000000e+00	4.000000000000e+00
0.765               	1.705545750000e+02	171	3.307359000000e+00	3.000000000000e+00
0.7803              	1.738820690000e+02	174	3.327500000000e+00	3.000000000000e+00
