# time              
# Time              	cpu                 	clock               	cpu/step            	clock/step          
509.2433487005      	1.739148000000e+00	12	4.025990000000e-01	1.000000000000e+00
509.2484436005      	5.532514000000e+00	18	3.793374000000e+00	6.000000000000e+00
509.2535385005      	9.232178000000e+00	21	3.699671000000e+00	3.000000000000e+00
509.2586334005      	1.298419900000e+01	25	3.752029000000e+00	4.000000000000e+00
509.2637283005      	1.663182700000e+01	29	3.647636000000e+00	4.000000000000e+00
509.2688232005      	2.023553600000e+01	32	3.603718000000e+00	3.000000000000e+00
509.2739181005      	2.382094500000e+01	36	3.585416000000e+00	4.000000000000e+00
509.2790130005      	2.738578000000e+01	39	3.564844000000e+00	3.000000000000e+00
509.2841079005      	3.092646900000e+01	43	3.540697000000e+00	4.000000000000e+00
509.2892028005      	3.447087800000e+01	47	3.544417000000e+00	4.000000000000e+00
509.2942977005      	3.800844100000e+01	50	3.537572000000e+00	3.000000000000e+00
509.2993926005      	4.151682700000e+01	54	3.508396000000e+00	4.000000000000e+00
509.3044875005      	4.511808800000e+01	57	3.601268000000e+00	3.000000000000e+00
509.3095824         	4.878967800000e+01	61	3.671598000000e+00	4.000000000000e+00
509.3125824005      	5.233920500000e+01	64	3.549536000000e+00	3.000000000000e+00
509.3155824005      	5.599781400000e+01	68	3.658617000000e+00	4.000000000000e+00
509.3185824005      	5.991049100000e+01	72	3.912685000000e+00	4.000000000000e+00
509.3215824005      	6.380155300000e+01	76	3.891069000000e+00	4.000000000000e+00
509.3245824005      	6.772646800000e+01	80	3.924923000000e+00	4.000000000000e+00
509.3275824005      	7.155415500000e+01	84	3.827695000000e+00	4.000000000000e+00
509.3305824005      	7.537959400000e+01	88	3.825447000000e+00	4.000000000000e+00
509.3335824005      	7.921449900000e+01	91	3.834913000000e+00	3.000000000000e+00
509.3365824005      	8.315353400000e+01	95	3.939043000000e+00	4.000000000000e+00
509.3395824005      	8.712429500000e+01	99	3.970769000000e+00	4.000000000000e+00
509.3425824005      	9.110732000000e+01	103	3.983034000000e+00	4.000000000000e+00
509.3455824005      	9.487909700000e+01	107	3.771785000000e+00	4.000000000000e+00
509.3485824005      	9.868995700000e+01	111	3.810868000000e+00	4.000000000000e+00
509.3515824005      	1.025542780000e+02	115	3.864329000000e+00	4.000000000000e+00
509.3545824005      	1.062683640000e+02	118	3.714095000000e+00	3.000000000000e+00
509.3575824005      	1.103175640000e+02	123	4.049208000000e+00	5.000000000000e+00
509.3605824005      	1.140846070000e+02	126	3.767053000000e+00	3.000000000000e+00
509.3635824005      	1.180862120000e+02	130	4.001614000000e+00	4.000000000000e+00
509.3665824005      	1.218220860000e+02	134	3.735883000000e+00	4.000000000000e+00
509.3695824005      	1.257474200000e+02	138	3.925342000000e+00	4.000000000000e+00
509.3725824005      	1.295565530000e+02	142	3.809141000000e+00	4.000000000000e+00
509.3755824005      	1.333826200000e+02	146	3.826075000000e+00	4.000000000000e+00
509.3785824005      	1.372146980000e+02	149	3.832086000000e+00	3.000000000000e+00
509.3815824005      	1.411803290000e+02	153	3.965639000000e+00	4.000000000000e+00
509.3845824005      	1.449181680000e+02	157	3.737847000000e+00	4.000000000000e+00
509.3875824005      	1.489735060000e+02	161	4.055347000000e+00	4.000000000000e+00
509.3905824005      	1.526941040000e+02	165	3.720606000000e+00	4.000000000000e+00
509.3935824005      	1.567280260000e+02	169	4.033931000000e+00	4.000000000000e+00
509.3965824005      	1.604632450000e+02	173	3.735228000000e+00	4.000000000000e+00
509.3995824005      	1.644135360000e+02	177	3.950299000000e+00	4.000000000000e+00
509.4025824005      	1.682754060000e+02	181	3.861879000000e+00	4.000000000000e+00
509.4055824005      	1.722066780000e+02	185	3.931280000000e+00	4.000000000000e+00
509.4085824005      	1.759333840000e+02	188	3.726715000000e+00	3.000000000000e+00
509.4115824005      	1.797639030000e+02	192	3.830528000000e+00	4.000000000000e+00
509.4145824005      	1.834944620000e+02	196	3.730568000000e+00	4.000000000000e+00
509.4175824005      	1.873413390000e+02	200	3.846886000000e+00	4.000000000000e+00
509.4205824005      	1.911811110000e+02	204	3.839780000000e+00	4.000000000000e+00
509.4235824005      	1.950437850000e+02	207	3.862682000000e+00	3.000000000000e+00
509.4265824005      	1.988322080000e+02	211	3.788430000000e+00	4.000000000000e+00
509.4295824005      	2.027119020000e+02	215	3.879703000000e+00	4.000000000000e+00
509.4325824005      	2.065861460000e+02	219	3.874252000000e+00	4.000000000000e+00
509.4355824005      	2.103615430000e+02	223	3.775404000000e+00	4.000000000000e+00
509.4385824005      	2.140734480000e+02	227	3.711914000000e+00	4.000000000000e+00
509.4415824005      	2.179004990000e+02	230	3.827058000000e+00	3.000000000000e+00
509.4445824005      	2.217107060000e+02	234	3.810215000000e+00	4.000000000000e+00
509.4475824005      	2.255087620000e+02	238	3.798064000000e+00	4.000000000000e+00
509.4505824005      	2.293455170000e+02	242	3.836764000000e+00	4.000000000000e+00
509.4535824005      	2.331610320000e+02	246	3.815524000000e+00	4.000000000000e+00
509.4565824005      	2.369473830000e+02	249	3.786358000000e+00	3.000000000000e+00
509.4595824005      	2.408051700000e+02	253	3.857796000000e+00	4.000000000000e+00
509.4625824005      	2.445759820000e+02	257	3.770820000000e+00	4.000000000000e+00
509.4655824005      	2.486402040000e+02	261	4.064230000000e+00	4.000000000000e+00
509.4685824005      	2.524411570000e+02	265	3.800961000000e+00	4.000000000000e+00
509.4715824005      	2.562825240000e+02	269	3.841376000000e+00	4.000000000000e+00
509.4745824005      	2.600542680000e+02	273	3.771751000000e+00	4.000000000000e+00
509.4775824005      	2.638745890000e+02	276	3.820328000000e+00	3.000000000000e+00
509.4805824005      	2.676581860000e+02	280	3.783607000000e+00	4.000000000000e+00
509.4835824005      	2.716824720000e+02	294	4.024291000000e+00	1.400000000000e+01
509.4865824005      	2.754414960000e+02	298	3.759033000000e+00	4.000000000000e+00
509.4895824005      	2.793225310000e+02	302	3.881044000000e+00	4.000000000000e+00
509.4925824005      	2.830673320000e+02	306	3.744812000000e+00	4.000000000000e+00
509.4955824005      	2.868725660000e+02	310	3.805242000000e+00	4.000000000000e+00
509.4985824005      	2.907201530000e+02	313	3.847597000000e+00	3.000000000000e+00
509.5015824005      	2.946318090000e+02	317	3.911664000000e+00	4.000000000000e+00
509.5045824005      	2.985407000000e+02	321	3.908899000000e+00	4.000000000000e+00
509.5075824005      	3.023986460000e+02	325	3.857954000000e+00	4.000000000000e+00
509.5105824005      	3.062897870000e+02	329	3.891150000000e+00	4.000000000000e+00
509.5135824005      	3.101157890000e+02	333	3.826009000000e+00	4.000000000000e+00
509.5165824005      	3.139940000000e+02	337	3.878222000000e+00	4.000000000000e+00
509.5195824005      	3.178603080000e+02	341	3.866316000000e+00	4.000000000000e+00
509.5225824005      	3.216559760000e+02	344	3.795675000000e+00	3.000000000000e+00
509.5255824005      	3.255477880000e+02	348	3.891821000000e+00	4.000000000000e+00
509.5285824005      	3.292866150000e+02	352	3.738834000000e+00	4.000000000000e+00
509.5315824005      	3.331696190000e+02	356	3.883012000000e+00	4.000000000000e+00
509.5345824005      	3.370409120000e+02	360	3.871302000000e+00	4.000000000000e+00
509.5375824005      	3.408893190000e+02	364	3.848414000000e+00	4.000000000000e+00
509.5405824005      	3.448299400000e+02	368	3.940630000000e+00	4.000000000000e+00
509.5435824005      	3.485211880000e+02	371	3.691256000000e+00	3.000000000000e+00
509.5465824005      	3.524353730000e+02	375	3.914193000000e+00	4.000000000000e+00
509.5495824005      	3.561184720000e+02	379	3.683108000000e+00	4.000000000000e+00
509.5525824005      	3.599402460000e+02	383	3.821782000000e+00	4.000000000000e+00
509.5555824005      	3.636176310000e+02	386	3.677392000000e+00	3.000000000000e+00
509.5585824005      	3.673738820000e+02	390	3.756259000000e+00	4.000000000000e+00
509.5615824005      	3.711308220000e+02	394	3.756949000000e+00	4.000000000000e+00
509.5645824005      	3.748972460000e+02	398	3.766431000000e+00	4.000000000000e+00
509.5675824005      	3.785982260000e+02	401	3.700988000000e+00	3.000000000000e+00
509.5705824005      	3.824442510000e+02	405	3.846033000000e+00	4.000000000000e+00
509.5735824005      	3.861522440000e+02	409	3.708002000000e+00	4.000000000000e+00
509.5765824005      	3.900007090000e+02	413	3.848474000000e+00	4.000000000000e+00
509.5795824005      	3.937387880000e+02	417	3.738087000000e+00	4.000000000000e+00
509.5825824005      	3.974144440000e+02	420	3.675663000000e+00	3.000000000000e+00
509.5855824005      	4.012598060000e+02	424	3.845370000000e+00	4.000000000000e+00
509.5885824005      	4.050030320000e+02	428	3.743234000000e+00	4.000000000000e+00
509.5915824005      	4.086107450000e+02	432	3.607721000000e+00	4.000000000000e+00
509.5945824005      	4.122279850000e+02	435	3.617249000000e+00	3.000000000000e+00
509.5975824005      	4.159267700000e+02	439	3.698793000000e+00	4.000000000000e+00
509.6005824005      	4.196164530000e+02	443	3.689691000000e+00	4.000000000000e+00
509.6035824005      	4.231970300000e+02	446	3.580585000000e+00	3.000000000000e+00
509.6065824005      	4.267983480000e+02	450	3.601327000000e+00	4.000000000000e+00
509.6095824005      	4.303860850000e+02	453	3.587746000000e+00	3.000000000000e+00
509.6125824005      	4.340089460000e+02	457	3.622868000000e+00	4.000000000000e+00
509.6155824005      	4.375641980000e+02	461	3.555259000000e+00	4.000000000000e+00
509.6185824005      	4.412146900000e+02	464	3.650500000000e+00	3.000000000000e+00
509.6215824005      	4.448219220000e+02	468	3.607240000000e+00	4.000000000000e+00
509.6245824005      	4.484607450000e+02	471	3.638831000000e+00	3.000000000000e+00
509.6275824005      	4.521189410000e+02	475	3.658204000000e+00	4.000000000000e+00
509.6305824005      	4.557679580000e+02	479	3.649026000000e+00	4.000000000000e+00
509.6335824005      	4.595223470000e+02	483	3.754398000000e+00	4.000000000000e+00
509.6365824005      	4.631129440000e+02	486	3.590604000000e+00	3.000000000000e+00
509.6395824005      	4.667583940000e+02	490	3.645460000000e+00	4.000000000000e+00
509.6425824005      	4.703858080000e+02	493	3.627423000000e+00	3.000000000000e+00
509.6455824005      	4.740629330000e+02	497	3.677134000000e+00	4.000000000000e+00
509.6485824005      	4.776794350000e+02	501	3.616510000000e+00	4.000000000000e+00
509.6515824005      	4.814786450000e+02	505	3.799217000000e+00	4.000000000000e+00
509.6545824005      	4.850919860000e+02	508	3.613349000000e+00	3.000000000000e+00
509.6575824005      	4.887327910000e+02	512	3.640813000000e+00	4.000000000000e+00
509.6605824005      	4.923560520000e+02	515	3.623270000000e+00	3.000000000000e+00
509.6635824005      	4.960079870000e+02	519	3.651944000000e+00	4.000000000000e+00
509.6665824005      	4.996261700000e+02	523	3.618191000000e+00	4.000000000000e+00
509.6695824005      	5.032733830000e+02	526	3.647220000000e+00	3.000000000000e+00
509.6725824005      	5.068768580000e+02	530	3.603482000000e+00	4.000000000000e+00
509.6755824005      	5.105776060000e+02	534	3.700756000000e+00	4.000000000000e+00
509.6785824005      	5.141803550000e+02	537	3.602757000000e+00	3.000000000000e+00
509.6815824005      	5.178443120000e+02	541	3.663965000000e+00	4.000000000000e+00
509.6845824005      	5.215870400000e+02	545	3.742736000000e+00	4.000000000000e+00
509.6875824005      	5.252598040000e+02	548	3.672774000000e+00	3.000000000000e+00
509.6905824005      	5.289260210000e+02	552	3.666225000000e+00	4.000000000000e+00
509.6935824005      	5.326479180000e+02	556	3.721906000000e+00	4.000000000000e+00
509.6965824005      	5.362696020000e+02	559	3.621691000000e+00	3.000000000000e+00
509.6995824005      	5.399812030000e+02	563	3.711609000000e+00	4.000000000000e+00
509.7025824005      	5.436458450000e+02	567	3.664650000000e+00	4.000000000000e+00
509.7055824005      	5.474132200000e+02	571	3.767384000000e+00	4.000000000000e+00
509.7085824005      	5.510378720000e+02	574	3.624660000000e+00	3.000000000000e+00
509.7115824005      	5.547543390000e+02	578	3.716475000000e+00	4.000000000000e+00
509.7145824005      	5.585175840000e+02	582	3.763253000000e+00	4.000000000000e+00
509.7175824005      	5.622135900000e+02	586	3.696015000000e+00	4.000000000000e+00
509.7205824005      	5.658772000000e+02	589	3.663617000000e+00	3.000000000000e+00
509.7235824005      	5.695875600000e+02	593	3.710368000000e+00	4.000000000000e+00
509.7265824005      	5.732566780000e+02	597	3.669125000000e+00	4.000000000000e+00
509.7295824005      	5.769699460000e+02	600	3.713275000000e+00	3.000000000000e+00
509.7325824005      	5.807560320000e+02	604	3.786094000000e+00	4.000000000000e+00
509.7355824005      	5.844528320000e+02	608	3.696808000000e+00	4.000000000000e+00
509.7385824005      	5.881096770000e+02	611	3.656854000000e+00	3.000000000000e+00
509.7415824005      	5.918330920000e+02	615	3.723422000000e+00	4.000000000000e+00
509.7445824005      	5.955093940000e+02	619	3.676311000000e+00	4.000000000000e+00
509.7475824005      	5.992113560000e+02	623	3.701971000000e+00	4.000000000000e+00
509.7505824005      	6.028464880000e+02	626	3.635141000000e+00	3.000000000000e+00
509.7535824005      	6.065616030000e+02	630	3.715122000000e+00	4.000000000000e+00
509.7565824005      	6.102164860000e+02	634	3.654892000000e+00	4.000000000000e+00
509.7595824005      	6.139282120000e+02	637	3.711734000000e+00	3.000000000000e+00
509.7625824005      	6.175701750000e+02	641	3.641971000000e+00	4.000000000000e+00
509.7655824005      	6.212805970000e+02	645	3.710429000000e+00	4.000000000000e+00
509.7685824005      	6.249326950000e+02	648	3.652106000000e+00	3.000000000000e+00
509.7715824005      	6.286195240000e+02	652	3.686837000000e+00	4.000000000000e+00
509.7745824005      	6.323103000000e+02	656	3.690785000000e+00	4.000000000000e+00
509.7775824005      	6.359967660000e+02	659	3.686473000000e+00	3.000000000000e+00
509.7805824005      	6.397236260000e+02	663	3.726869000000e+00	4.000000000000e+00
509.7835824005      	6.436046170000e+02	676	3.880996000000e+00	1.300000000000e+01
509.7865824005      	6.472772110000e+02	680	3.672600000000e+00	4.000000000000e+00
509.7895824005      	6.510097620000e+02	684	3.732560000000e+00	4.000000000000e+00
509.7925824005      	6.546907730000e+02	687	3.681020000000e+00	3.000000000000e+00
509.7955824005      	6.584018800000e+02	691	3.711116000000e+00	4.000000000000e+00
509.7985824005      	6.620868540000e+02	695	3.684982000000e+00	4.000000000000e+00
509.8015824005      	6.658181850000e+02	698	3.731339000000e+00	3.000000000000e+00
509.8045824005      	6.694930610000e+02	702	3.674884000000e+00	4.000000000000e+00
509.8075824005      	6.732398660000e+02	706	3.746813000000e+00	4.000000000000e+00
509.8105824005      	6.769326800000e+02	710	3.692823000000e+00	4.000000000000e+00
509.8135824005      	6.807182200000e+02	713	3.785549000000e+00	3.000000000000e+00
509.8165824005      	6.844570180000e+02	717	3.738807000000e+00	4.000000000000e+00
509.8195824005      	6.882221440000e+02	721	3.765135000000e+00	4.000000000000e+00
509.8225824005      	6.920551040000e+02	725	3.832967000000e+00	4.000000000000e+00
509.8255824005      	6.958833510000e+02	729	3.828260000000e+00	4.000000000000e+00
509.8285824005      	6.996372990000e+02	732	3.753956000000e+00	3.000000000000e+00
509.8315824005      	7.034271470000e+02	736	3.789856000000e+00	4.000000000000e+00
509.8345824005      	7.071135090000e+02	740	3.686371000000e+00	4.000000000000e+00
509.8375824005      	7.108408530000e+02	744	3.727353000000e+00	4.000000000000e+00
509.8405824005      	7.145321170000e+02	747	3.691272000000e+00	3.000000000000e+00
509.8435824005      	7.182679380000e+02	751	3.735830000000e+00	4.000000000000e+00
509.8465824005      	7.219618550000e+02	755	3.693925000000e+00	4.000000000000e+00
509.8495824005      	7.257216390000e+02	758	3.759793000000e+00	3.000000000000e+00
509.8525824005      	7.293644040000e+02	762	3.642773000000e+00	4.000000000000e+00
509.8555824005      	7.331128680000e+02	766	3.748472000000e+00	4.000000000000e+00
509.8585824005      	7.368372680000e+02	770	3.724408000000e+00	4.000000000000e+00
509.8615824005      	7.406012110000e+02	773	3.763952000000e+00	3.000000000000e+00
509.8645824005      	7.443308790000e+02	777	3.729676000000e+00	4.000000000000e+00
509.8675824005      	7.480387840000e+02	781	3.707913000000e+00	4.000000000000e+00
509.8705824005      	7.518150510000e+02	785	3.776275000000e+00	4.000000000000e+00
509.8735824005      	7.556039530000e+02	788	3.788912000000e+00	3.000000000000e+00
509.8765824005      	7.593225920000e+02	792	3.718647000000e+00	4.000000000000e+00
509.8795824005      	7.630916690000e+02	796	3.769085000000e+00	4.000000000000e+00
509.8825824005      	7.667687020000e+02	800	3.677042000000e+00	4.000000000000e+00
509.8855824005      	7.705711650000e+02	803	3.802472000000e+00	3.000000000000e+00
509.8885824005      	7.741988320000e+02	807	3.627675000000e+00	4.000000000000e+00
509.8915824005      	7.779639980000e+02	811	3.765174000000e+00	4.000000000000e+00
509.8945824005      	7.816187790000e+02	814	3.654789000000e+00	3.000000000000e+00
509.8975824005      	7.853914500000e+02	818	3.772679000000e+00	4.000000000000e+00
509.9005824005      	7.890639570000e+02	822	3.672515000000e+00	4.000000000000e+00
509.9035824005      	7.928328020000e+02	826	3.768852000000e+00	4.000000000000e+00
509.9065824005      	7.965182210000e+02	829	3.685428000000e+00	3.000000000000e+00
509.9095824005      	8.002659830000e+02	833	3.747769000000e+00	4.000000000000e+00
509.9125824005      	8.039954120000e+02	837	3.729437000000e+00	4.000000000000e+00
509.9155824005      	8.077767250000e+02	841	3.781322000000e+00	4.000000000000e+00
509.9185824005      	8.115310710000e+02	844	3.754354000000e+00	3.000000000000e+00
509.9215824005      	8.153037250000e+02	848	3.772662000000e+00	4.000000000000e+00
509.9245824005      	8.189734810000e+02	852	3.669764000000e+00	4.000000000000e+00
509.9275824005      	8.227186790000e+02	856	3.745207000000e+00	4.000000000000e+00
509.9305824005      	8.264496700000e+02	859	3.730999000000e+00	3.000000000000e+00
509.9335824005      	8.302866790000e+02	863	3.837016000000e+00	4.000000000000e+00
509.9365824005      	8.340988570000e+02	867	3.812187000000e+00	4.000000000000e+00
509.9395824005      	8.378045720000e+02	871	3.705723000000e+00	4.000000000000e+00
509.9425824005      	8.415253360000e+02	875	3.720771000000e+00	4.000000000000e+00
