# Wall shear stress 
# Time              	patch               	min                 	max                 
0.000000000000e+00	YMAX	(-6.082870392235e-21 -2.566907371855e-24 -5.106486060482e-36)	(-1.033065717210e-23 2.195356926974e-24 5.106468222915e-36)
0.000000000000e+00	ZMIN	(-2.538818744553e-21 -1.769996412163e-39 -2.932707811270e-25)	(-1.246289260549e-21 1.267642948899e-39 2.803171330700e-25)
0.000000000000e+00	bc_aft	(1.042040977319e-09 -3.477514685643e-07 -1.194649157617e-09)	(7.460694453075e-06 1.968717243509e-09 7.979351538345e-07)
0.000000000000e+00	bc_bow	(4.355526780598e-09 -2.726850459419e-11 -5.476071248144e-08)	(8.404267488260e-07 9.664089396117e-08 1.347890271534e-11)
0.000000000000e+00	bc_deck	(2.825179985981e-08 -1.479639422954e-10 -2.302546378190e-09)	(4.424663346963e-07 3.663752967271e-14 6.093272166464e-11)
0.000000000000e+00	bc_duct	(4.302147804197e-09 -1.355786497276e-08 -1.835863351075e-08)	(1.298581978843e-07 1.223379918028e-08 1.076634751654e-08)
0.000000000000e+00	bc_headbox	(4.016374186693e-09 -9.545564694665e-09 -4.977590280236e-09)	(8.095580451040e-08 4.085524088451e-09 5.019976011660e-09)
0.000000000000e+00	bc_hull	(4.392823835015e-09 -8.252929026833e-08 -8.192314856420e-08)	(3.341941900027e-06 1.600552853180e-07 1.613859192645e-07)
0.000000000000e+00	bc_hull_coarse	(6.650479723416e-08 -3.369087704584e-08 -8.153588346243e-10)	(3.710577410015e-07 4.598691205950e-08 2.891032953425e-09)
0.000000000000e+00	bc_rudder	(3.251335708897e-09 -1.049191689428e-08 -1.801723465334e-08)	(1.921877170585e-07 8.914187922838e-09 1.548175557465e-08)
0.000000000000e+00	bc_shaft	(4.537605646964e-09 -7.138250641016e-09 -3.316836318518e-09)	(6.591819829601e-08 4.426217517872e-09 3.981695979737e-09)
0.000000000000e+00	bc_skeg	(1.755113255810e-09 -8.180018226004e-10 -1.020052387219e-12)	(1.106282493210e-08 6.636073575299e-14 1.524962403466e-09)
0.000000000000e+00	bc_transom	(8.555352382260e-08 -7.716611055931e-11 -1.489894153973e-12)	(5.823400989125e-07 4.084041059972e-12 2.819317353095e-11)
0.000000000000e+00	bc_wake	(1.855658020907e-09 -9.892796934624e-09 -9.677246883332e-09)	(1.202674285269e-07 3.331284045735e-09 1.363394327739e-08)
1.530000000000e+00	YMAX	(-2.881369085398e-07 -6.449402359647e-08 -1.916660002189e-07)	(5.195827033073e-07 6.635312079044e-08 1.980876831305e-07)
1.530000000000e+00	ZMIN	(-4.183333729572e-04 -4.696059489654e-04 -5.662645244324e-05)	(3.809879359534e-04 4.438090524586e-04 1.817597340828e-04)
1.530000000000e+00	bc_aft	(-4.109469647035e-02 -7.909793480112e-02 -8.811098715572e-02)	(8.829919737609e-02 5.526909260126e-02 1.391067130014e-02)
1.530000000000e+00	bc_bow	(-1.841759267972e-02 -3.146621514797e-02 -4.644370207518e-02)	(3.666653007588e-02 1.065952226628e-02 1.958081967256e-02)
1.530000000000e+00	bc_deck	(3.927207343312e-04 -2.004435829648e-04 -6.116911284271e-04)	(1.386009947601e-03 1.267837904638e-04 3.722978480262e-04)
1.530000000000e+00	bc_duct	(-3.236328511535e-03 -2.321228342979e-03 -2.126659352288e-03)	(3.551302433704e-03 3.124251922193e-03 3.665299380099e-03)
1.530000000000e+00	bc_headbox	(-7.503734773777e-04 -1.078053534369e-03 -4.992808598919e-04)	(8.322960669334e-04 1.802276342596e-03 7.766315361267e-04)
1.530000000000e+00	bc_hull	(-8.558505250663e-03 -1.861197423949e-02 -1.038403642166e-01)	(4.276068229323e-02 1.151984558995e-02 7.256461496847e-02)
1.530000000000e+00	bc_hull_coarse	(1.179694964167e-04 -1.096629288775e-03 -1.970612325194e-03)	(4.046282740789e-03 9.804121736762e-04 1.547608362882e-03)
1.530000000000e+00	bc_rudder	(-2.096752960952e-03 -2.899464530691e-03 -1.665234695622e-03)	(1.352765106306e-02 4.682523815970e-03 3.863764794939e-03)
1.530000000000e+00	bc_shaft	(-1.515994713555e-03 -1.509372234314e-03 -1.047115658374e-03)	(1.031370513369e-03 2.415287926473e-03 8.159245373643e-04)
