# Wall shear stress 
# Time              	patch               	min                 	max                 
5.092433487005e+02	YMAX	(-1.007372741813e-05 -2.708872151591e-05 -1.583668032487e-05)	(4.662761188829e-04 1.636337450017e-05 2.431700587204e-05)
5.092433487005e+02	ZMIN	(-5.922835284471e-03 -2.580090689798e-03 -8.356105822713e-04)	(6.747668700474e-04 1.737689866024e-03 3.831143692882e-04)
5.092433487005e+02	bc_aft	(-4.457844249889e-02 -4.093693726553e-02 -4.480610529688e-02)	(1.748216737545e-01 1.095179002375e-01 6.504778710237e-02)
5.092433487005e+02	bc_bow	(-5.426908170882e-02 -5.164782915086e-02 -3.419067518954e-02)	(1.358322180667e-01 8.681321141442e-03 2.727080943162e-02)
5.092433487005e+02	bc_deck	(2.840620442453e-04 -6.289202930657e-03 -1.316746974406e-02)	(1.630558600732e-02 1.051121527453e-03 3.057425775345e-03)
5.092433487005e+02	bc_duct	(-3.278627287888e-02 -9.643097233462e-02 -8.467876611021e-02)	(1.010112999342e-01 8.100167636448e-02 8.902066471837e-02)
5.092433487005e+02	bc_headbox	(-9.987722366991e-03 -1.065250064242e-02 -3.425069021117e-03)	(8.141245227972e-03 9.876691136867e-03 1.507816518671e-02)
5.092433487005e+02	bc_hull	(-7.286376234153e-02 -7.355407299906e-02 -7.198399239566e-02)	(1.251647114503e-01 1.973824066440e-02 5.922582336810e-02)
5.092433487005e+02	bc_hull_coarse	(1.520947387629e-03 -1.242860342120e-02 -2.412372565960e-02)	(7.545215004717e-02 3.620308360251e-03 5.329486086706e-03)
5.092433487005e+02	bc_rudder	(-6.112109577545e-03 -2.030933673803e-02 -1.616123809308e-02)	(5.989076864230e-02 1.917882224680e-02 1.337508791191e-02)
5.092433487005e+02	bc_shaft	(-3.826606874958e-03 -2.882859136202e-03 -4.502662434965e-03)	(1.063606369936e-02 1.055842905042e-02 6.906566803762e-03)
5.092433487005e+02	bc_skeg	(-1.665268907157e-03 -7.733229820403e-04 -1.200845268594e-04)	(4.332121803616e-04 1.729221659205e-05 5.603909761196e-04)
5.092433487005e+02	bc_transom	(-1.097874515480e-02 -2.178373338368e-02 -1.430157721059e-02)	(5.458124780624e-03 1.558805702108e-03 9.657879077438e-03)
5.092433487005e+02	bc_wake	(-1.245504477813e-02 -1.427783393095e-02 -3.488724836944e-03)	(1.117696191478e-02 1.025100719661e-02 3.954101337387e-03)
5.094835824005e+02	YMAX	(-1.037932218949e-05 -2.524271692202e-05 -1.588385384277e-05)	(4.632618459628e-04 1.548485732613e-05 2.439728132210e-05)
5.094835824005e+02	ZMIN	(-6.523349268257e-03 -2.389775835653e-03 -6.834042657437e-04)	(6.752893561763e-04 1.497466015055e-03 9.800539753195e-04)
5.094835824005e+02	bc_aft	(-1.464424650992e-01 -9.995197131560e-02 -6.078993317001e-02)	(1.447481603224e-01 5.847631744699e-01 2.384349136617e-01)
5.094835824005e+02	bc_bow	(-5.417524355705e-02 -5.093669149113e-02 -3.090341125310e-02)	(1.418812942656e-01 1.315076878718e-02 3.500681545513e-02)
5.094835824005e+02	bc_deck	(7.101815419488e-04 -6.356115087999e-03 -1.336454500014e-02)	(1.630097136926e-02 1.348768751027e-03 3.309967952206e-03)
5.094835824005e+02	bc_duct	(-3.311383998640e-02 -3.133239969375e-02 -2.730512758462e-02)	(2.274909920558e-02 2.382043972754e-02 2.082844592441e-02)
5.094835824005e+02	bc_headbox	(-1.153234867917e-02 -6.227176849293e-03 -2.036648945826e-03)	(4.335786305022e-03 9.398553410086e-03 1.455628244658e-02)
5.094835824005e+02	bc_hull	(-7.171045502426e-02 -7.144562213365e-02 -7.760340182475e-02)	(1.206213416428e-01 2.769124636717e-02 6.107335564984e-02)
5.094835824005e+02	bc_hull_coarse	(1.151994102923e-03 -1.248275220801e-02 -2.473359579462e-02)	(7.573263484573e-02 3.561620371580e-03 5.644552523201e-03)
5.094835824005e+02	bc_rudder	(-9.940294213554e-03 -9.501328264156e-03 -1.150745637127e-02)	(4.396660330801e-02 1.806164429457e-02 1.474041802733e-02)
5.094835824005e+02	bc_shaft	(-3.738888240305e-03 -3.106485060221e-03 -4.509260126901e-03)	(1.223564823481e-02 1.340844146550e-02 8.168115575865e-03)
5.094835824005e+02	bc_skeg	(-2.091154751667e-03 -8.899420234165e-04 -1.199893195226e-04)	(4.236904464635e-04 7.906015811499e-06 5.980178301631e-04)
5.094835824005e+02	bc_transom	(-1.979079985148e-02 -1.970701618595e-02 -2.446726772563e-02)	(5.158941676846e-03 5.230446296279e-03 1.088256277605e-02)
