# y+ ()             
# Time              	patch               	min                 	max                 	average             
509.2433487005      	YMAX	3.463216576517e-01	1.659136490170e+03	2.351673410296e+02
509.2433487005      	ZMIN	4.099230913634e-01	1.331362739385e+02	1.930525274838e+01
509.2433487005      	bc_aft	5.167626429319e-02	2.156278022776e+02	2.543641981603e+01
509.2433487005      	bc_bow	7.347229350073e-02	6.526171709419e+01	3.681656020866e+01
509.2433487005      	bc_deck	7.364127874673e-01	1.628842368459e+01	6.197719359254e+00
509.2433487005      	bc_duct	8.922077832514e-01	1.113365408523e+02	2.223765682894e+01
509.2433487005      	bc_headbox	1.197257341594e+00	5.577547293564e+01	1.325437409742e+01
509.2433487005      	bc_hull	9.723184071863e-02	5.318028168711e+01	2.335121734184e+01
509.2433487005      	bc_hull_coarse	1.523667723027e+00	9.945842063917e+00	2.976106569265e+00
509.2433487005      	bc_rudder	6.845847554201e-01	1.181173715418e+02	2.877191210327e+01
509.2433487005      	bc_shaft	2.297139122421e+00	3.924783542434e+01	1.305090677572e+01
509.2433487005      	bc_skeg	4.904811887369e+00	5.903220516556e+01	2.472198779714e+01
509.2433487005      	bc_transom	4.077059875955e-01	8.644026179444e+01	7.472088390921e+00
509.2433487005      	bc_wake	8.789961329650e-01	1.332962719609e+02	2.548193572346e+01
509.4835824005      	YMAX	3.463080150647e-01	1.659093134154e+03	2.351597757308e+02
509.4835824005      	ZMIN	4.135724407902e-01	1.429904539036e+02	1.922768657977e+01
509.4835824005      	bc_aft	1.258980680878e-01	2.148868135656e+02	2.550041429380e+01
509.4835824005      	bc_bow	8.349058430421e-02	6.524135951788e+01	3.683245045157e+01
509.4835824005      	bc_deck	7.381900641914e-01	1.632315078735e+01	6.201089633834e+00
509.4835824005      	bc_duct	7.006716706214e-01	1.039252998977e+02	1.994124627060e+01
509.4835824005      	bc_headbox	9.531530692115e-01	5.418375896368e+01	1.349932090257e+01
509.4835824005      	bc_hull	1.236271546775e-01	5.311798542531e+01	2.335430620170e+01
509.4835824005      	bc_hull_coarse	1.570325995436e+00	1.000626362249e+01	2.975764480178e+00
509.4835824005      	bc_rudder	3.277766759666e-01	1.074421488756e+02	2.605856418452e+01
509.4835824005      	bc_shaft	1.711150559714e+00	4.207154088112e+01	1.376902570113e+01
509.4835824005      	bc_skeg	4.343244670611e+00	6.419750790874e+01	2.544367311988e+01
509.4835824005      	bc_transom	3.841956458088e-01	9.512415124490e+01	7.006438834595e+00
509.4835824005      	bc_wake	2.418153482005e-01	1.341262370528e+02	2.553605429299e+01
509.7835824005      	YMAX	3.462863633046e-01	1.659667880807e+03	2.351546932661e+02
509.7835824005      	ZMIN	4.168869893288e-01	1.497359656066e+02	1.932614904690e+01
509.7835824005      	bc_aft	1.463138591588e-01	2.148645660324e+02	2.563367711856e+01
509.7835824005      	bc_bow	7.807195915394e-02	6.540475944818e+01	3.682308804408e+01
509.7835824005      	bc_deck	5.428903146606e-01	1.630226348956e+01	6.195559889084e+00
509.7835824005      	bc_duct	1.172812945803e+00	1.064050750630e+02	2.015326429688e+01
509.7835824005      	bc_headbox	7.901087644550e-01	5.527855945084e+01	1.344456772342e+01
509.7835824005      	bc_hull	1.203806553168e-01	5.320656925395e+01	2.335759640881e+01
509.7835824005      	bc_hull_coarse	1.534148125221e+00	1.004843735280e+01	2.962195590899e+00
509.7835824005      	bc_rudder	3.697465004396e-01	1.128394790457e+02	2.520052854854e+01
509.7835824005      	bc_shaft	8.361001028670e-01	4.489950796311e+01	1.378011815992e+01
509.7835824005      	bc_skeg	1.232188147317e+00	6.699367117572e+01	2.490504889252e+01
509.7835824005      	bc_transom	5.483268673095e-01	7.530927763853e+01	6.104825589600e+00
509.7835824005      	bc_wake	8.020875154167e-01	1.338945116509e+02	2.568305239024e+01
510.0835824005      	YMAX	3.463131201221e-01	1.659618791058e+03	2.351427570309e+02
510.0835824005      	ZMIN	4.188636900963e-01	1.337873011040e+02	1.933698275000e+01
